region	country	station	station_active_date	station_inactive_date	reactive_c2c_id	time_zone	queue_name	sun_open	sun_close	mon_open	mon_close	tue_open	tue_close	wed_open	wed_close	thu_open	thu_close	fri_open	fri_close	sat_open	sat_close	active_flag
EU	FR	DIF6	2020-08-20	2099-12-31	d6d1b64e-8cca-4239-a2a2-c8b9ca90d21d	Europe/Paris	SDS-FR-DSL-DIF6-EMAIL	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	ACTIVE
EU	IN	BOMB	2019-03-31	2099-12-31	e877d167-ddc0-4cba-8827-ef2b87c35b8d	Asia/Kolkata	SDS-IN-DSL-BOMB-EMAIL	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	ACTIVE
EU	FR	DWP2	2021-07-22	2099-12-31	84956af3-747c-4a72-99cb-4fd1cadd91ea	Europe/Paris	SDS-FR-DSL-DWP2-EMAIL	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	ACTIVE
NA	US	DBK6	2021-02-15	2099-12-31	6858b0ce-e81c-4338-b06a-08c1fe4a06d5	America/New_York	SDS-US-DSL-DBK6-EMAIL	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	ACTIVE
EU	IN	BCHD	2021-03-21	2099-12-31	fdee4346-c11b-48b8-95a5-741c5f6e258d	Asia/Kolkata	SDS-IN-DSL-BCHD-EMAIL	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	ACTIVE
NA	US	DRC1	2018-04-29	2099-12-31	2c8794cd-d727-4c76-a711-9db101fdc3d9	America/New_York	SDS-US-DSL-DRC1-EMAIL	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	ACTIVE
NA	US	DJZ5	2020-09-21	2099-12-31	463ec968-323b-4572-ba8b-f151248a9a9e	America/New_York	SDS-US-DSL-DJZ5-EMAIL	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	ACTIVE
EU	IN	MMCA	2021-07-10	2099-12-31	a5f8aefe-f05b-4b1c-ac54-c1ce86a9db75	Asia/Kolkata	AmazonInDSLMMCAEmail	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	ACTIVE
EU	UK	DXG2	2021-08-26	2099-12-31	86a1eaf0-b8b2-40e1-a193-f9f2e569384e	Europe/London	AmazonUkDSLDXG2Email	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	ACTIVE
EU	UK	DIP1	2020-07-30	2099-12-31	89307463-1fa4-4f45-bd64-0601997dfbd3	Europe/London	SDS-UK-DSL-DIP1-EMAIL	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	ACTIVE
EU	UK	DBH2	2018-08-12	2022-10-19	589bc994-16d5-4b3a-9d8f-427faeba8723	Europe/London	SDS-UK-DSL-DBH2-EMAIL	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	ACTIVE
NA	US	DCL5	2021-04-12	2099-12-31	e6081343-97dd-4733-82ad-d9261e7b7065	America/New_York	SDS-US-DSL-DCL5-EMAIL	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	ACTIVE
FE	JP	DTK5	2021-06-29	2099-12-31	964169ce-30b0-404a-afae-4aee6ad87cc4	Asia/Tokyo	SDS-JP-DSL-DTK5-EMAIL	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	ACTIVE
NA	US	DAT9	2020-10-05	2099-12-31	301773f6-f1f4-4a03-893a-3bb3f6c2cbc7	America/New_York	SDS-US-DSL-DAT9-EMAIL	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	ACTIVE
EU	DE	OMU2	2021-03-11	2099-12-31	33fc145d-d0df-4a93-919b-b7e2f68621d1	Europe/Berlin	SDS-DE-DSL-DMU2-EMAIL	00:00	00:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	ACTIVE
EU	IN	NCT3	2020-07-01	2099-12-31	3e3de6a1-1caa-4ee0-9f39-b1d5a0659887	Asia/Kolkata	SDS-IN-DSL-NCT3-EMAIL	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	ACTIVE
EU	EG	DIS3	2022-02-13	2099-12-31	1c2026b9-c615-44f3-a898-0c27ee226118	Africa/Cairo	amzl-dsl-dis3@amazon.eg	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	ACTIVE
NA	US	DCM6	2021-03-31	2099-12-31	870efbe2-44ae-4f09-9124-43faa0276592	America/New_York	SDS-US-DSL-DCM6-EMAIL	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	ACTIVE
NA	MX	DVR2	2021-03-15	2099-12-31	a419062d-54c7-45a5-af90-146ad6111b5c	America/Mexico_City	SDS-MX-DSL-DVR2-EMAIL	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	ACTIVE
EU	IN	CCT1	2021-08-07	2099-12-31	e2fdd4a1-7d15-405d-870d-2ed938c5a160	Asia/Kolkata	AmazonInDSLCCT1Email	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	ACTIVE
NA	US	DUR3	2021-10-19	2099-12-31	35f1e2f6-2019-4908-9e96-0ba99231643c	America/Los_Angeles	AmazonUsDSLDUR3Email	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	ACTIVE
EU	IN	BOMN	2019-03-31	2099-12-31	b101baec-fd06-4320-a7de-6cdef720cf35	Asia/Kolkata	SDS-IN-DSL-BOMN-EMAIL	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	ACTIVE
EU	AE	OAD1	2021-09-20	2099-12-31	762d3fd8-1fcd-4d5c-93b7-39035f51e3ae	Asia/Dubai	amzl-dsl-oad1@amazon.ae	09:00	18:00	09:00	18:00	09:00	18:00	09:00	18:00	09:00	18:00	09:00	18:00	09:00	18:00	ACTIVE
NA	MX	DHM1	2020-09-29	2099-12-31	158fad17-7b59-4d4c-8b1f-7521248d2223	America/Los_Angeles	SDS-MX-DSL-DHM1-EMAIL	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	ACTIVE
EU	FR	DRQ7	2021-10-07	2099-12-31	3588674c-bab7-44cb-8364-f795a937509b	Europe/Paris	amzl-dsl-drq7@amazon.fr	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	ACTIVE
EU	IN	HYDK	2019-03-31	2099-12-31	768d9d5f-f37e-48be-bcb9-a6ca495ba1c4	Asia/Kolkata	SDS-IN-DSL-HYDK-EMAIL	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	ACTIVE
EU	DE	DBE2	2019-01-20	2099-12-31	2b4127fa-fd32-4b2a-a8df-d16eb2706c00	Europe/Berlin	SDS-DE-DSL-DBE2-EMAIL	00:00	00:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	ACTIVE
EU	UK	DDN1	2018-08-12	2099-12-31	1cf40dcc-571c-4777-97c3-486c588ffbd1	Europe/London	SDS-UK-DSL-DDN1-EMAIL	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	ACTIVE
NA	US	DML2	2018-08-12	2099-12-31	59371d7c-ab67-4bb4-82da-fa08fde3dc4d	America/Chicago	SDS-US-DSL-DML2-EMAIL	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	ACTIVE
EU	IN	PNYF	2021-03-21	2099-12-31	403f2101-8704-4292-bf8b-ebf0cfedbcb0	Asia/Kolkata	SDS-IN-DSL-PNYF-EMAIL	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	08:00	17:00	ACTIVE
NA	US	DIA3	2020-04-22	2099-12-31	72ca3dee-b726-495f-85c3-03c367d7099f	America/Chicago	SDS-US-DSL-DIA3-EMAIL	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	ACTIVE
EU	ES	DQV2	2021-07-29	2099-12-31	e046ae1d-84bb-4a93-bd27-f61bd3b56b80	Europe/Madrid	SDS-ES-DSL-DQV2-EMAIL2	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	ACTIVE
EU	DE	DFQ3	2020-10-28	2022-10-01	e98b3663-d451-44b5-9e52-394739eb873a	Europe/Berlin	SDS-DE-DSL-DHE1-EMAIL	00:00	00:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	ACTIVE
NA	US	DUT2	2020-09-14	2099-12-31	ba86d602-f188-414c-934b-71c1fc1df24b	America/Denver	SDS-US-DSL-DUT2-EMAIL	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	ACTIVE
EU	ES	DQV1	2018-11-18	2099-12-31	f2af59e9-c8ae-4f52-8a2c-1dff615d6737	Europe/Madrid	SDS-ES-DSL-DQV1-EMAIL	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	ACTIVE
EU	UK	DBI7	2021-11-04	2099-12-31	ec4c7d02-079a-487e-89b7-d4a6e99cdccd	Europe/London	amzl-dsl-dbi7@amazon.co.uk	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	ACTIVE
EU	FR	OND2	2020-11-05	2022-05-18	eda91f96-06a3-40a2-aebf-1fc533670c9c	Europe/Paris	SDS-FR-DSL-DND1-EMAIL	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	ACTIVE
NA	US	DLV4	2021-04-21	2099-12-31	253160aa-ed8a-4407-9456-bfb2c6cf59a9	America/Los_Angeles	SDS-US-DSL-DLV4-EMAIL	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	ACTIVE
EU	AE	DDB2	2020-07-24	2099-12-31	f3a3a137-c3f1-4522-abc4-63adec099d0a	Asia/Dubai	SDS-AE-DSL-DDB2-EMAIL	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	ACTIVE
EU	IT	OPI3	2019-01-20	2099-12-31	8ab82d2a-2173-4f6f-bf28-2e7d5e4ee542	Europe/Rome	SDS-IT-DSL-DLO2-EMAIL	09:00	16:00	09:00	16:30	09:00	16:30	09:00	16:30	09:00	16:30	09:00	16:30	09:00	16:30	ACTIVE
NA	US	DIL1	2018-12-02	2099-12-31	f6e57ef1-009a-42cd-b8c3-769007c34dc0	America/Chicago	SDS-US-DSL-DIL1-EMAIL	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	ACTIVE
EU	ES	DGQ1	2020-09-04	2099-12-31	44d7603f-94c1-4fe7-8abe-921c2c53b085	Europe/Madrid	SDS-ES-DSL-DGQ1-EMAIL	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	ACTIVE
FE	JP	OOO1	2021-03-14	2099-12-31	e01facef-92b9-4da0-9966-b8a17b50626e	Asia/Tokyo	SDS-JP-DSL-DOO2-EMAIL	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	ACTIVE
EU	ES	DQB4	2021-09-09	2099-12-31	74b8cca4-404d-4fa5-a7df-62df59066707	Europe/Madrid	amzl-dsl-dqb4@amazon.es	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	ACTIVE
EU	DE	DRP6	2021-10-27	2099-12-31	ec61351d-e48f-4424-982c-9524ecde1ff3	Europe/Berlin	amzl-dsl-drp6@amazon.de	00:00	00:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	ACTIVE
EU	IT	DLZ3	2019-01-20	2099-12-31	834531be-7883-4ec2-9959-86fabb09d4ef	Europe/Rome	SDS-IT-DSL-DLZ3-EMAIL	09:00	16:00	09:00	16:30	09:00	16:30	09:00	16:30	09:00	16:30	09:00	16:30	09:00	16:00	ACTIVE
NA	US	DSE5	2018-04-29	2099-12-31	c73b5dff-6613-4a56-b8f2-5137e9a35ee5	America/Los_Angeles	SDS-US-DSL-DSE5-EMAIL	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	ACTIVE
NA	US	DKO1	2021-07-28	2099-12-31	7753dabe-2ece-4376-91dd-f1e30ca827f3	America/New_York	AmazonUsDSLDKO1Email	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	ACTIVE
NA	US	DSX7	2021-04-28	2099-12-31	743f9725-0502-48b9-8f7d-726f10ca9cad	America/Chicago	SDS-US-DSL-DSX7-EMAIL	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	10:00	19:00	ACTIVE
EU	ES	OCM1	2019-06-13	2099-12-31	b3c7f67b-07d2-4c2d-8a94-37c5d5de2bff	Europe/Madrid	SDS-ES-DSL-DMA3-EMAIL	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	09:00	17:00	ACTIVE
